Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Admiralty,2025,3,1,     0.0,     0.0,     0.0,     0.0,    27.9,    32.2,    25.7,    13.1,    33.9
Admiralty,2025,3,2,     0.0,     0.0,     0.0,     0.0,    27.5,    31.8,    25.2,    15.2,    38.9
Admiralty,2025,3,3,     1.0,     1.0,     1.0,     1.0,    27.8,    34.7,    24.9,     9.9,    27.4
Admiralty,2025,3,4,    27.8,    23.4,    26.6,    27.8,    27.3,    34.1,    22.0,     9.4,    44.6
Admiralty,2025,3,5,    13.4,     6.4,     9.4,    12.8,    26.7,    30.5,    24.8,     6.4,    30.2
Admiralty,2025,3,6,    24.8,    14.4,    22.6,    23.2,    25.8,    27.5,    23.7,     8.8,    31.7
Admiralty,2025,3,7,     0.0,     0.0,     0.0,     0.0,    27.9,    33.4,    25.0,     7.0,    27.8
Admiralty,2025,3,8,     6.6,     5.8,     6.2,     6.6,    27.1,    33.1,    24.9,    11.3,    36.7
Admiralty,2025,3,9,    31.8,    26.4,    28.6,    29.4,    25.8,    27.6,    23.1,     8.3,    35.9
Admiralty,2025,3,10,     4.6,     3.0,     3.0,     3.0,    27.5,    31.7,    25.3,    11.9,    47.8
Admiralty,2025,3,11,     1.0,     0.8,     0.8,     0.8,    28.2,    33.0,    25.6,    12.6,    35.2
Admiralty,2025,3,12,     7.4,     4.2,     6.8,     7.4,    27.2,    31.8,    25.1,     9.3,    40.4
Admiralty,2025,3,13,     0.0,     0.0,     0.0,     0.0,    27.7,    31.1,    25.7,     8.7,    27.4
Admiralty,2025,3,14,     0.0,     0.0,     0.0,     0.0,    27.9,    32.7,    25.7,    11.5,    38.5
Admiralty,2025,3,15,     0.0,     0.0,     0.0,     0.0,    28.1,    32.5,    26.1,     9.0,    32.4
Admiralty,2025,3,16,     0.0,     0.0,     0.0,     0.0,    28.0,    32.8,    26.5,     9.4,    37.4
Admiralty,2025,3,17,     0.0,     0.0,     0.0,     0.0,    28.1,    33.1,    25.7,    12.0,    50.7
Admiralty,2025,3,18,     0.0,     0.0,     0.0,     0.0,    28.4,    32.3,    25.9,    14.4,    48.5
Admiralty,2025,3,19,   109.0,    15.0,    21.8,    30.2,    24.8,    27.2,    22.7,    10.2,    29.8
Admiralty,2025,3,20,   173.8,    19.6,    26.6,    44.8,    23.3,    24.7,    22.3,    11.3,    32.0
Admiralty,2025,3,21,     3.6,     2.4,     2.4,     2.4,    26.2,    28.9,    23.8,    12.0,    43.2
Admiralty,2025,3,22,     5.6,     3.4,     3.8,     3.8,    27.0,    30.4,    24.9,    13.4,    44.6
Admiralty,2025,3,23,    13.2,     2.4,     3.4,     5.2,    26.5,    31.1,    22.5,    12.2,    32.0
Admiralty,2025,3,24,     7.0,     1.4,     2.2,     3.2,    26.8,    30.7,    24.3,    10.6,    38.2
Admiralty,2025,3,25,     3.0,     1.4,     2.2,     2.2,    27.5,    33.4,    25.5,     9.7,    27.0
Admiralty,2025,3,26,     0.0,     0.0,     0.0,     0.0,    28.1,    34.4,    25.3,     9.0,    27.8
Admiralty,2025,3,27,    23.8,    14.0,    14.8,    14.8,    27.6,    33.2,    25.3,     7.2,    35.9
Admiralty,2025,3,28,    11.6,    10.8,    10.8,    10.8,    27.6,    31.1,    24.0,     8.0,    48.2
Admiralty,2025,3,29,     0.2,     0.2,     0.2,     0.2,    27.9,    33.7,    26.0,     6.3,    35.0
Admiralty,2025,3,30,    13.8,    11.6,    13.0,    13.2,    26.8,    34.0,    23.6,     7.9,    44.6
Admiralty,2025,3,31,    10.0,     9.8,    10.0,    10.0,    26.5,    33.1,    25.1,     7.1,    30.6
