Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Ang Mo Kio,2025,3,1,     0.0,     0.0,     0.0,     0.0,    28.0,    32.3,    25.9,     9.2,    37.0
Ang Mo Kio,2025,3,2,     0.0,     0.0,     0.0,     0.0,    27.6,    32.3,    25.1,     8.8,    34.3
Ang Mo Kio,2025,3,3,     0.0,     0.0,     0.0,     0.0,    28.0,    33.3,    25.0,     6.5,    25.9
Ang Mo Kio,2025,3,4,     2.0,     2.0,     2.0,     2.0,    27.8,    34.4,    23.9,     6.5,    35.0
Ang Mo Kio,2025,3,5,     6.2,     4.8,     4.8,     5.8,    26.9,    30.9,    24.6,     4.8,    27.4
Ang Mo Kio,2025,3,6,     1.4,     0.8,     1.0,     1.0,    26.4,    28.4,    24.7,     5.4,    25.9
Ang Mo Kio,2025,3,7,     0.0,     0.0,     0.0,     0.0,    28.2,    34.1,    25.2,     5.0,    25.6
Ang Mo Kio,2025,3,8,    25.8,    23.0,    24.6,    25.2,    27.2,    32.3,    23.6,     6.9,    30.2
Ang Mo Kio,2025,3,9,     8.8,     3.2,     4.6,     5.8,    26.0,    27.8,    23.8,     4.4,    18.7
Ang Mo Kio,2025,3,10,     1.6,     1.0,     1.0,     1.0,    27.7,    31.9,    25.6,     8.3,    42.0
Ang Mo Kio,2025,3,11,     5.2,     3.4,     4.4,     4.4,    28.2,    32.5,    25.2,     8.0,    30.6
Ang Mo Kio,2025,3,12,     9.0,     7.2,     8.0,     8.0,    27.3,    31.4,    24.3,     5.9,    35.2
Ang Mo Kio,2025,3,13,     1.8,     1.4,     1.6,     1.6,    27.9,    31.4,    25.8,     5.7,    25.2
Ang Mo Kio,2025,3,14,     0.0,     0.0,     0.0,     0.0,    28.3,    32.6,    25.8,     7.8,    33.9
Ang Mo Kio,2025,3,15,     0.0,     0.0,     0.0,     0.0,    28.9,    33.3,    26.4,     6.5,    32.4
Ang Mo Kio,2025,3,16,     4.0,     3.8,     3.8,     3.8,    28.0,    32.8,    26.4,     5.8,    30.6
Ang Mo Kio,2025,3,17,     0.0,     0.0,     0.0,     0.0,    28.5,    33.5,    25.7,     7.6,    32.4
Ang Mo Kio,2025,3,18,     0.0,     0.0,     0.0,     0.0,    28.6,    32.5,    26.3,     9.3,    41.1
Ang Mo Kio,2025,3,19,    94.0,    17.8,    23.8,    27.8,    25.0,    27.3,    23.1,     6.3,    30.2
Ang Mo Kio,2025,3,20,   193.0,    21.0,    28.2,    48.0,    23.3,    24.3,    22.4,     7.0,    25.2
Ang Mo Kio,2025,3,21,     1.4,     1.0,     1.2,     1.4,    26.1,    29.6,    23.5,     7.8,    36.3
Ang Mo Kio,2025,3,22,     5.4,     1.8,     1.8,     1.8,    27.2,    31.1,    24.6,     8.3,    38.5
Ang Mo Kio,2025,3,23,    23.8,     4.2,     6.6,     8.8,    26.5,    31.2,    22.6,     8.3,    34.6
Ang Mo Kio,2025,3,24,    25.8,    15.6,    22.2,    23.8,    26.8,    30.3,    23.7,     6.9,    34.3
Ang Mo Kio,2025,3,25,     4.0,     4.0,     4.0,     4.0,    27.4,    33.0,    25.5,     5.7,    22.0
Ang Mo Kio,2025,3,26,     0.0,     0.0,     0.0,     0.0,    28.1,    34.1,    25.1,     6.3,    27.4
Ang Mo Kio,2025,3,27,     8.4,     7.8,     7.8,     8.2,    27.9,    32.2,    25.8,     5.3,    26.3
Ang Mo Kio,2025,3,28,     6.4,     4.4,     5.4,     5.4,    27.9,    31.6,    24.6,     5.3,    53.0
Ang Mo Kio,2025,3,29,    19.6,    16.0,    19.4,    19.6,    27.7,    33.8,    22.3,     4.2,    32.0
Ang Mo Kio,2025,3,30,     0.0,     0.0,     0.0,     0.0,    27.3,    33.8,    25.2,     4.9,    28.9
Ang Mo Kio,2025,3,31,     0.0,     0.0,     0.0,     0.0,    26.9,    32.2,    25.2,     4.9,    26.3
