Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2025,2,1,     0.0,     0.0,     0.0,     0.0,    26.9,    30.9,    24.9,    15.1,    40.7
Changi,2025,2,2,     0.0,     0.0,     0.0,     0.0,    27.3,    31.9,    24.8,    12.5,    40.7
Changi,2025,2,3,     0.0,     0.0,     0.0,     0.0,    27.6,    31.7,    25.0,    16.8,    40.7
Changi,2025,2,4,     0.0,     0.0,     0.0,     0.0,    27.1,    31.6,    24.4,    16.7,    44.4
Changi,2025,2,5,    26.8,     3.4,     6.4,    11.8,    24.8,    26.8,    23.0,    15.1,    37.0
Changi,2025,2,6,     0.0,     0.0,     0.0,     0.0,    26.6,    30.4,    24.1,    17.1,    48.2
Changi,2025,2,7,     0.0,     0.0,     0.0,     0.0,    27.0,    31.2,    24.0,    17.6,    46.3
Changi,2025,2,8,     0.0,     0.0,     0.0,     0.0,    27.1,    30.9,    24.7,    19.0,    53.7
Changi,2025,2,9,     0.8,     0.8,     0.8,     0.8,    26.7,    30.5,    24.4,    18.8,    55.6
Changi,2025,2,10,     0.0,     0.0,     0.0,     0.0,    27.1,    31.1,    24.1,    19.7,    48.2
Changi,2025,2,11,     0.0,     0.0,     0.0,     0.0,    27.3,    30.9,    25.1,    19.0,    44.4
Changi,2025,2,12,     0.0,     0.0,     0.0,     0.0,    27.4,    31.7,    25.0,    15.2,    38.9
Changi,2025,2,13,     0.0,     0.0,     0.0,     0.0,    27.4,    32.1,    25.0,    14.1,    35.2
Changi,2025,2,14,     0.0,     0.0,     0.0,     0.0,    27.8,    32.1,    25.1,    16.1,    40.7
Changi,2025,2,15,     3.4,     2.4,     3.4,     3.4,    27.5,    31.9,    25.4,    12.9,    40.7
Changi,2025,2,16,     0.0,     0.0,     0.0,     0.0,    27.7,    32.0,    24.9,    12.1,    37.0
Changi,2025,2,17,     5.2,     4.6,     4.8,     5.0,    27.2,    32.8,    25.0,     8.3,    38.9
Changi,2025,2,18,     0.0,     0.0,     0.0,     0.0,    26.6,    29.0,    25.2,    14.0,    40.7
Changi,2025,2,19,     0.0,     0.0,     0.0,     0.0,    27.3,    30.4,    25.1,    14.4,    40.7
Changi,2025,2,20,     0.0,     0.0,     0.0,     0.0,    28.0,    31.8,    25.9,    17.1,    42.6
Changi,2025,2,21,     0.0,     0.0,     0.0,     0.0,    27.8,    31.9,    25.2,    16.4,    42.6
Changi,2025,2,22,     0.0,     0.0,     0.0,     0.0,    27.8,    31.8,    25.6,    15.3,    42.6
Changi,2025,2,23,    34.4,    22.2,    25.0,    25.4,    26.3,    31.2,    23.5,    10.5,    57.4
Changi,2025,2,24,     0.0,     0.0,     0.0,     0.0,    27.7,    32.3,    25.2,    14.5,    40.7
Changi,2025,2,25,     2.6,     0.8,     1.0,     1.6,    27.5,    31.5,    24.8,    16.5,    50.0
Changi,2025,2,26,     0.6,     0.6,     0.6,     0.6,    27.5,    31.4,    25.7,    19.3,    51.9
Changi,2025,2,27,     0.0,     0.0,     0.0,     0.0,    28.0,    31.4,    26.1,    20.4,    48.2
Changi,2025,2,28,     0.0,     0.0,     0.0,     0.0,    28.2,    31.7,    26.2,    16.1,    42.6
