Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
East Coast Parkway,2025,2,1,     0.0,     0.0,     0.0,     0.0,    27.1,    29.9,    25.6,    14.7,    47.6
East Coast Parkway,2025,2,2,     9.2,     9.2,     9.2,     9.2,    27.2,    31.4,    25.5,    12.3,    40.7
East Coast Parkway,2025,2,3,     0.0,     0.0,     0.0,     0.0,    27.7,    30.9,    25.6,    16.7,    43.9
East Coast Parkway,2025,2,4,     0.0,     0.0,     0.0,     0.0,    27.2,    30.9,    25.3,    15.9,    47.2
East Coast Parkway,2025,2,5,    16.0,     3.4,     6.2,    10.2,    25.3,    27.1,    23.6,    13.7,    36.3
East Coast Parkway,2025,2,6,     0.0,     0.0,     0.0,     0.0,    26.7,    29.5,    24.6,    17.0,    51.1
East Coast Parkway,2025,2,7,     0.0,     0.0,     0.0,     0.0,    27.1,    30.4,    25.0,    17.5,    52.2
East Coast Parkway,2025,2,8,     0.0,     0.0,     0.0,     0.0,    27.2,    30.2,    25.3,    17.0,    57.2
East Coast Parkway,2025,2,9,     0.2,     0.2,     0.2,     0.2,    26.8,    30.0,    25.1,    17.8,    59.1
East Coast Parkway,2025,2,10,     0.0,     0.0,     0.0,     0.0,    27.1,    30.0,    24.9,    18.6,    57.2
East Coast Parkway,2025,2,11,     0.0,     0.0,     0.0,     0.0,    27.4,    30.2,    25.7,    17.1,    46.1
East Coast Parkway,2025,2,12,     0.0,     0.0,     0.0,     0.0,    27.2,    30.3,    25.5,    13.8,    39.6
East Coast Parkway,2025,2,13,     0.0,     0.0,     0.0,     0.0,    27.2,    30.5,    25.2,    13.3,    37.8
East Coast Parkway,2025,2,14,     0.0,     0.0,     0.0,     0.0,    27.8,    31.5,    25.6,    14.8,    40.7
East Coast Parkway,2025,2,15,    19.0,    17.0,    17.4,    17.4,    27.5,    30.7,    25.0,    13.0,    78.2
East Coast Parkway,2025,2,16,     0.0,     0.0,     0.0,     0.0,    27.4,    30.4,    25.7,    12.2,    36.3
East Coast Parkway,2025,2,17,     6.0,     2.8,     4.2,     5.0,    27.2,    31.3,    25.4,     9.7,    29.8
East Coast Parkway,2025,2,18,     0.0,     0.0,     0.0,     0.0,    26.9,    28.6,    25.8,    15.0,    42.4
East Coast Parkway,2025,2,19,     0.0,     0.0,     0.0,     0.0,    27.5,    29.6,    25.9,    14.3,    42.8
East Coast Parkway,2025,2,20,     0.0,     0.0,     0.0,     0.0,    27.9,    30.6,    26.4,    16.2,    45.0
East Coast Parkway,2025,2,21,     0.0,     0.0,     0.0,     0.0,    27.9,    30.7,    25.9,    17.2,    47.8
East Coast Parkway,2025,2,22,     2.2,     2.2,     2.2,     2.2,    27.7,    30.8,    26.1,    14.7,    40.7
East Coast Parkway,2025,2,23,    10.6,     7.6,     9.0,     9.2,    27.0,    30.0,    24.5,    10.2,    37.8
East Coast Parkway,2025,2,24,     0.0,     0.0,     0.0,     0.0,    28.0,    30.8,    25.9,    13.2,    37.8
East Coast Parkway,2025,2,25,     0.6,     0.4,     0.4,     0.6,    27.6,    30.1,    25.3,    15.2,    46.5
East Coast Parkway,2025,2,26,     0.0,     0.0,     0.0,     0.0,    27.7,    29.8,    26.6,    17.1,    47.6
East Coast Parkway,2025,2,27,     0.4,     0.4,     0.4,     0.4,    28.0,    30.6,    26.6,    16.7,    41.1
East Coast Parkway,2025,2,28,     0.0,     0.0,     0.0,     0.0,    28.1,    30.6,    26.7,    14.6,    40.4
