Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2020,1,1,0,0,0,0,28.5,32.3,25.7,6.8,38.9
Jurong Island,2020,1,2,0,0,0,0,28.2,31.2,25.9,6.1,32.4
Jurong Island,2020,1,3,0,0,0,0,28.6,32.9,26.3,6.5,40.3
Jurong Island,2020,1,4,0,0,0,0,28,31.8,26,6.1,38.9
Jurong Island,2020,1,5,0,0,0,0,28.8,33.5,25.6,7.2,34.9
Jurong Island,2020,1,6,9.6,5.2,7.2,9.2,27.3,32.5,24.4,9,32.4
Jurong Island,2020,1,7,2.6,1.2,1.6,2.2,27.2,31,24.1,9,37.1
Jurong Island,2020,1,8,0.4,0.4,0.4,0.4,28.2,32.4,25.9,6.8,39.2
Jurong Island,2020,1,9,0,0,0,0,28.5,32.3,26.6,6.1,33.8
Jurong Island,2020,1,10,11,7.8,10.4,11,27.3,31.6,24.7,6.8,30.2
Jurong Island,2020,1,11,0,0,0,0,28.4,31.4,25.8,5.8,22
Jurong Island,2020,1,12,0,0,0,0,27.9,31.6,25.3,6.8,28.4
Jurong Island,2020,1,13,0,0,0,0,28,32.5,25.3,6.1,27.4
Jurong Island,2020,1,14,0,0,0,0,28.4,33.2,25.8,6.1,30.2
Jurong Island,2020,1,15,0,0,0,0,28.3,31.6,25.9,5.4,31
Jurong Island,2020,1,16,17.8,13.6,13.6,14,27.5,31.5,25.5,6.1,30.6
Jurong Island,2020,1,17,0,0,0,0,28.5,32.6,25.7,6.5,31.7
Jurong Island,2020,1,18,2.2,1.6,1.6,2,27.7,32,26.1,5.8,28.1
Jurong Island,2020,1,19,0,0,0,0,28.4,32,26.4,7.2,38.2
Jurong Island,2020,1,20,31.4,19.6,25,30.4,27.6,31.5,24.5,6.8,36.7
Jurong Island,2020,1,21,11.6,11,11.4,11.4,27,28.6,24.2,6.1,43.2
Jurong Island,2020,1,22,0,0,0,0,28.6,33.1,26,6.8,32.4
Jurong Island,2020,1,23,6.6,6,6.6,6.6,27.9,31.1,25.9,6.1,29.9
Jurong Island,2020,1,24,0,0,0,0,28.8,33.2,26,6.5,32.4
Jurong Island,2020,1,25,0,0,0,0,28.5,32.5,25.7,8.6,36.7
Jurong Island,2020,1,26,0,0,0,0,28.6,31.9,26,8.6,33.5
Jurong Island,2020,1,27,0,0,0,0,28.5,31.8,26.8,7.6,31
Jurong Island,2020,1,28,4.8,3.4,4.6,4.8,28.2,30.9,26.1,8.6,32.8
Jurong Island,2020,1,29,185.2,62.2,90.2,96.4,26.4,29.9,23.4,6.1,37.8
Jurong Island,2020,1,30,0.4,0.4,0.4,0.4,27.8,32.5,24.3,6.8,32
Jurong Island,2020,1,31,0,0,0,0,28.6,32.1,26.8,7.2,39.2
