Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2021,5,1,     1.4,     1.2,     1.2,     1.2,    28.6,    31.3,    26.2,     8.8,    38.9
Jurong Island,2021,5,2,     0.0,     0.0,     1.0,     1.2,    29.7,    33.1,    27.0,    12.2,    40.0
Jurong Island,2021,5,3,     0.0,     0.0,     0.0,     0.0,    29.5,    32.9,    27.6,    10.4,    42.8
Jurong Island,2021,5,4,     2.8,     2.0,     2.6,     2.8,    28.6,    31.5,    25.8,     5.9,    29.4
Jurong Island,2021,5,5,     0.0,     0.0,     0.0,     0.0,    28.3,    32.4,    26.6,     5.7,    29.4
Jurong Island,2021,5,6,     2.2,     1.0,     1.0,     1.2,    27.6,    29.7,    26.3,     6.6,    27.4
Jurong Island,2021,5,7,     7.2,     3.4,     3.6,     3.8,    28.2,    30.9,    25.7,     6.0,    36.3
Jurong Island,2021,5,8,    13.6,     7.8,     8.8,     8.8,    27.8,    31.4,    25.7,     6.6,    25.9
Jurong Island,2021,5,9,     0.2,     0.2,     0.2,     0.6,    28.8,    31.5,    26.6,     6.8,    35.0
Jurong Island,2021,5,10,     0.0,     0.0,     0.0,     0.0,    30.0,    33.2,    27.9,     9.4,    26.3
Jurong Island,2021,5,11,     0.0,     0.0,     0.0,     0.0,    29.9,    33.2,    28.5,    11.5,    34.6
Jurong Island,2021,5,12,     0.8,     0.4,     0.6,     0.6,    28.4,    31.2,    26.1,     7.1,    32.8
Jurong Island,2021,5,13,     0.0,     0.0,     0.0,     0.0,    29.2,    32.1,    26.5,     9.1,    32.8
Jurong Island,2021,5,14,    32.4,    18.0,    24.4,    25.4,    28.5,    30.9,    25.5,     7.5,    32.4
Jurong Island,2021,5,15,    53.6,    23.4,    31.2,    52.6,    28.0,    31.2,    24.1,     8.8,    42.8
Jurong Island,2021,5,16,     0.0,     0.0,     0.0,     0.0,    29.5,    32.4,    27.6,     8.3,    28.9
Jurong Island,2021,5,17,    43.0,    30.0,    31.2,    31.2,    28.5,    30.9,    24.9,    10.1,    38.2
Jurong Island,2021,5,18,     4.6,     4.8,    31.8,    32.0,    27.3,    29.3,    25.1,     9.0,    28.5
Jurong Island,2021,5,19,     0.0,     0.0,     0.0,     0.0,    28.3,    29.8,    26.9,     6.3,    19.4
Jurong Island,2021,5,20,     0.0,     0.0,     0.0,     0.0,    29.2,    32.0,    27.1,     7.4,    25.9
Jurong Island,2021,5,21,     0.0,     0.0,     0.0,     0.0,    28.6,    31.3,    26.7,     7.9,    29.1
Jurong Island,2021,5,22,     0.4,     0.4,     0.4,     0.4,    27.6,    29.4,    25.9,     9.8,    38.9
Jurong Island,2021,5,23,     0.0,     0.0,     0.0,     0.0,    29.6,    32.6,    27.5,    10.6,    28.9
Jurong Island,2021,5,24,     0.0,     0.0,     0.0,     0.0,    30.2,    32.8,    28.3,    12.0,    38.5
Jurong Island,2021,5,25,     0.0,     0.0,     0.0,     0.0,    30.3,    32.7,    28.7,    14.3,    35.6
Jurong Island,2021,5,26,     0.0,     0.0,     0.0,     0.0,    29.9,    32.1,    28.8,    13.6,    32.4
Jurong Island,2021,5,27,     8.8,     8.0,     8.2,     8.8,    29.0,    31.0,    26.9,     9.7,    28.9
Jurong Island,2021,5,28,     0.0,     0.0,     0.0,     0.0,    28.8,    32.0,    26.4,     7.4,    29.1
Jurong Island,2021,5,29,    27.8,     9.8,    13.0,    17.6,    27.8,    30.1,    24.3,    10.0,    35.6
Jurong Island,2021,5,30,     0.0,     0.0,     0.0,     0.0,    29.3,    31.4,    28.1,     9.9,    35.2
Jurong Island,2021,5,31,    17.8,    11.2,    14.8,    16.0,    28.5,    31.7,    24.3,     8.3,    35.0
