Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Newton,2025,2,1,     8.4,     6.0,     7.8,     8.4,    26.4,    32.5,    24.5,     6.4,    28.9
Newton,2025,2,2,     0.0,     0.0,     0.0,     0.0,    27.1,    33.1,    24.5,     6.9,    32.8
Newton,2025,2,3,     0.0,     0.0,     0.0,     0.0,    27.5,    32.9,    25.0,     7.3,    31.3
Newton,2025,2,4,     3.2,     3.2,     3.2,     3.2,    26.8,    32.2,    24.7,     7.3,    33.2
Newton,2025,2,5,     4.6,     0.8,     1.6,     2.6,    24.7,    26.4,    23.2,     8.2,    43.5
Newton,2025,2,6,     0.0,     0.0,     0.0,     0.0,    26.5,    31.6,    24.1,     7.6,    36.7
Newton,2025,2,7,     0.0,     0.0,     0.0,     0.0,    27.0,    32.4,    24.3,     7.5,    35.2
Newton,2025,2,8,     0.0,     0.0,     0.0,     0.0,    27.0,    31.7,    24.6,     9.0,    41.1
Newton,2025,2,9,     0.4,     0.4,     0.4,     0.4,    26.3,    31.0,    24.7,     9.0,    40.4
Newton,2025,2,10,     0.0,     0.0,     0.0,     0.0,    26.6,    31.0,    24.3,     9.1,    42.0
Newton,2025,2,11,     0.0,     0.0,     0.0,     0.0,    27.0,    31.8,    24.6,     8.4,    38.9
Newton,2025,2,12,     0.0,     0.0,     0.0,     0.0,    27.1,    31.2,    24.8,     8.4,    29.4
Newton,2025,2,13,     0.0,     0.0,     0.0,     0.0,    27.4,    32.8,    25.2,     7.4,    25.9
Newton,2025,2,14,     0.0,     0.0,     0.0,     0.0,    27.6,    33.8,    25.3,     7.0,    29.1
Newton,2025,2,15,    17.2,    11.8,    15.8,    17.2,    27.0,    33.4,    25.0,     5.8,    32.8
Newton,2025,2,16,     0.0,     0.0,     0.0,     0.0,    27.3,    32.3,    24.6,     7.2,    29.8
Newton,2025,2,17,    17.8,    15.4,    15.8,    15.8,    26.9,    33.6,    23.9,     5.4,    37.0
Newton,2025,2,18,     0.0,     0.0,     0.0,     0.0,    26.4,    29.0,    24.8,     7.1,    29.1
Newton,2025,2,19,     0.0,     0.0,     0.0,     0.0,    27.0,    30.2,    25.0,     7.0,    29.4
Newton,2025,2,20,     0.0,     0.0,     0.0,     0.0,    27.5,    31.3,    25.4,     7.4,    32.4
Newton,2025,2,21,     0.0,     0.0,     0.0,     0.0,    27.6,    31.8,    25.2,     6.9,    37.0
Newton,2025,2,22,    11.4,     7.2,     8.0,    11.4,    27.2,    31.6,    25.3,     7.1,    33.9
Newton,2025,2,23,    35.4,    26.2,    29.6,    29.8,    26.2,    31.9,    23.5,     5.1,    34.3
Newton,2025,2,24,     0.0,     0.0,     0.0,     0.0,    27.6,    31.9,    25.1,     6.9,    34.3
Newton,2025,2,25,     0.4,     0.2,     0.2,     0.4,    27.1,    30.5,    24.6,     8.4,    39.6
Newton,2025,2,26,     0.2,     0.2,     0.2,     0.2,    27.1,    29.6,    25.9,     9.3,    40.4
Newton,2025,2,27,     0.0,     0.0,     0.0,     0.0,    27.6,    31.5,    25.6,     8.5,    37.4
Newton,2025,2,28,     0.0,     0.0,     0.0,     0.0,    27.8,    31.8,    26.0,     8.0,    35.6
