Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2024,10,1,     1.8,     0.6,     1.0,     1.4,    26.8,    31.2,    25.3,     2.6,    22.6
Pulau Ubin,2024,10,2,     0.0,     0.0,     0.0,     0.0,    28.5,    32.9,    25.7,     2.7,    19.1
Pulau Ubin,2024,10,3,     7.4,     5.6,     7.0,     7.4,    27.8,    32.7,    24.5,     2.8,    20.9
Pulau Ubin,2024,10,4,     3.0,     2.8,     2.8,     2.8,    27.5,    32.1,    24.5,     3.0,    18.3
Pulau Ubin,2024,10,5,     7.8,     7.4,     7.8,     7.8,    27.1,    31.1,    25.0,     3.1,    15.7
Pulau Ubin,2024,10,6,    27.8,    15.6,    20.6,    24.0,    27.1,    32.0,    23.7,     3.6,    22.6
Pulau Ubin,2024,10,7,     0.0,     0.0,     0.0,     0.0,    27.6,    32.9,    25.5,     3.5,    22.6
Pulau Ubin,2024,10,8,     0.6,     0.6,     0.6,     0.6,    27.6,    31.8,    25.7,     2.8,    33.9
Pulau Ubin,2024,10,9,     0.0,     0.0,     0.0,     0.0,    28.1,    33.9,    25.6,     3.2,    21.7
Pulau Ubin,2024,10,10,     0.4,     0.2,     0.2,     0.4,    27.4,    32.9,    25.4,     2.7,    17.2
Pulau Ubin,2024,10,11,     5.2,     3.4,     4.4,     5.2,    27.2,    32.8,    25.0,     2.9,    19.4
Pulau Ubin,2024,10,12,     7.2,     1.8,     2.8,     3.6,    26.7,    33.3,    25.3,     2.9,    17.6
Pulau Ubin,2024,10,13,     1.4,     1.2,     1.4,     1.4,    27.8,    32.2,    24.9,     3.6,    19.1
Pulau Ubin,2024,10,14,    31.4,    10.6,    17.4,    20.8,    25.3,    27.3,    23.4,     2.9,    28.5
Pulau Ubin,2024,10,15,     0.0,     0.0,     0.0,     0.0,    27.8,    32.7,    24.5,     3.7,    24.1
Pulau Ubin,2024,10,16,     0.6,     0.4,     0.6,     0.6,    27.5,    31.8,    25.3,     2.5,    33.2
Pulau Ubin,2024,10,17,     2.4,     2.4,     2.4,     2.4,    26.6,    29.0,    24.6,     2.4,    25.6
Pulau Ubin,2024,10,18,     0.8,     0.6,     0.6,     0.6,    26.7,    30.7,    24.8,     3.0,    13.3
Pulau Ubin,2024,10,19,     0.0,     0.0,     0.0,     0.0,    27.5,    31.8,    25.5,     3.0,    13.0
Pulau Ubin,2024,10,20,    20.8,    13.2,    15.8,    19.8,    26.5,    31.5,    22.2,     3.3,    32.0
Pulau Ubin,2024,10,21,     0.0,     0.0,     0.0,     0.0,    29.1,    34.5,    25.5,     3.1,    17.2
Pulau Ubin,2024,10,22,     0.0,     0.0,     0.0,     0.0,    29.0,    33.7,    26.4,     2.9,    16.5
Pulau Ubin,2024,10,23,     0.0,     0.0,     0.0,     0.0,    29.2,    34.9,    25.9,     2.9,    21.7
Pulau Ubin,2024,10,24,     0.0,     0.0,     0.0,     0.0,    27.7,    33.7,    24.8,     3.7,    20.2
Pulau Ubin,2024,10,25,     0.0,     0.0,     0.0,     0.0,    28.1,    33.4,    25.2,     3.0,    22.4
Pulau Ubin,2024,10,26,     0.0,     0.0,     0.0,     0.0,    29.0,    33.9,    25.3,     3.3,    18.3
Pulau Ubin,2024,10,27,     0.0,     0.0,     0.0,     0.0,    29.9,    35.4,    25.4,     3.9,    23.7
Pulau Ubin,2024,10,28,     0.2,     0.2,     0.2,     0.2,    29.0,    34.2,    26.5,     3.1,    20.6
Pulau Ubin,2024,10,29,     0.0,     0.0,     0.0,     0.0,    29.3,    34.9,    25.7,     3.3,    24.1
Pulau Ubin,2024,10,30,     0.0,     0.0,     0.0,     0.0,    29.1,    33.5,    25.8,     3.0,    15.7
Pulau Ubin,2024,10,31,     1.8,     1.4,     1.8,     1.8,    28.4,    33.3,    25.8,     3.3,    19.8
