Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tuas South,2024,4,1,     0.6,     0.6,     0.6,     0.6,    29.7,    33.0,    27.7,     3.5,    27.0
Tuas South,2024,4,2,     0.0,     0.0,     0.0,     0.0,    30.6,    33.6,    28.3,     4.8,    28.9
Tuas South,2024,4,3,     1.0,     1.0,     1.0,     1.0,    29.8,    32.6,    28.5,     2.9,    19.4
Tuas South,2024,4,4,     0.0,     0.0,     0.0,     0.0,    29.4,    32.0,    27.5,     5.0,    23.0
Tuas South,2024,4,5,     0.0,     0.0,     0.0,     0.0,    30.1,    33.7,    27.3,     4.8,    22.4
Tuas South,2024,4,6,     0.0,     0.0,     0.0,     0.0,    30.6,    35.3,    28.0,     3.3,    22.4
Tuas South,2024,4,7,     4.2,     3.0,     4.2,     4.2,    30.3,    34.6,    27.3,     3.7,    23.3
Tuas South,2024,4,8,    17.2,    15.2,    17.0,    17.0,    28.9,    31.0,    24.0,     4.7,    35.2
Tuas South,2024,4,9,     2.0,     2.0,     2.0,     2.0,    29.5,    33.3,    27.1,     4.8,    34.3
Tuas South,2024,4,10,    45.0,    36.0,    41.2,    42.8,    27.8,    29.4,    24.9,     5.5,    20.9
Tuas South,2024,4,11,     9.6,     7.2,     7.2,     8.4,    28.5,    32.1,    25.6,     2.7,    18.7
Tuas South,2024,4,12,    24.4,     8.4,    12.6,    17.2,    26.6,    28.8,    24.9,     4.4,    18.7
Tuas South,2024,4,13,    43.4,    21.4,    29.8,    33.8,    27.7,    33.2,    24.0,     4.9,    80.2
Tuas South,2024,4,14,     0.0,     0.0,     0.0,     0.0,    28.7,    31.3,    26.6,     2.8,    15.6
Tuas South,2024,4,15,    35.6,    28.8,    32.8,    33.2,    28.8,    32.6,    26.1,     3.4,    20.6
Tuas South,2024,4,16,     1.6,     1.4,     1.4,     1.4,    28.5,    30.4,    27.2,     1.9,    14.4
Tuas South,2024,4,17,    17.8,     7.2,    10.4,    17.0,    28.2,    31.3,    24.9,     5.8,    50.7
Tuas South,2024,4,18,     0.0,     0.0,     0.0,     0.0,    29.6,    33.3,    27.1,     4.8,    20.6
Tuas South,2024,4,19,     8.8,     8.8,     8.8,     8.8,    29.8,    33.1,    26.2,     5.0,    21.7
Tuas South,2024,4,20,    11.6,    10.2,    10.8,    10.8,    28.8,    31.5,    25.6,     6.2,    33.5
Tuas South,2024,4,21,     0.0,     0.0,     0.0,     0.0,    29.8,    32.6,    28.3,     6.2,    21.3
Tuas South,2024,4,22,     1.0,     0.8,     0.8,     1.0,    29.4,    32.4,    28.0,     3.9,    18.7
Tuas South,2024,4,23,     7.0,     4.0,     4.0,     4.0,    29.5,    32.3,    26.1,     3.8,    14.4
Tuas South,2024,4,24,     2.4,     1.8,     1.8,     1.8,    29.5,    32.3,    26.1,     5.5,    23.0
Tuas South,2024,4,25,     0.0,     0.0,     0.0,     0.0,    30.4,    34.3,    28.6,     3.9,    26.3
Tuas South,2024,4,26,     0.0,     0.0,     0.0,     0.0,    29.8,    33.3,    27.9,     4.0,    29.8
Tuas South,2024,4,27,     0.0,     0.0,     0.0,     0.0,    30.3,    33.5,    28.1,     4.6,    23.3
Tuas South,2024,4,28,     0.0,     0.0,     0.0,     0.0,    29.9,    32.8,    28.9,     5.2,    24.8
Tuas South,2024,4,29,     0.0,     0.0,     0.0,     0.0,    30.4,    34.0,    27.7,     4.3,    26.7
Tuas South,2024,4,30,     0.0,-,     0.0,     0.0,    31.0,    33.6,    28.9,     4.7,    24.1
